date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:07	14822/14822	---M--	200	added ('OK')	image/jpeg	etag:%2299f0279f2272eb7ea637178edac8655e%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/horizontal/3.jpg	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/horizontal/3.jpg	(from https://rosecutebear.com/)
20:49:08	36571/36571	---M--	200	added ('OK')	image/jpeg	etag:%220a7c98a23ad6eb9356510d575c876dd8%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/horizontal/4.jpg	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/horizontal/4.jpg	(from https://rosecutebear.com/)
20:49:10	132954/132954	---M--	200	added ('OK')	image/png	etag:%227a4c91a8efeb02f5961ac17617edaa5a%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/specs/1.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/specs/1.png	(from https://rosecutebear.com/)
20:49:11	102778/102778	---M--	200	added ('OK')	image/png	etag:%226e77e2435d97564365c3456a2040504b%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/specs/2.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/specs/2.png	(from https://rosecutebear.com/)
20:49:12	13173/13173	---M--	200	added ('OK')	image/png	etag:%2244e5027736a20d349da93d7dbdc27dee%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/usage/1.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/usage/1.png	(from https://rosecutebear.com/)
20:49:12	1239/1239	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22601da162-4d7%22	https://rosecutebear.com/salespages/rosealcutebear/images/next-step.svg	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespages/rosealcutebear/images/next-step.svg	(from https://rosecutebear.com/)
20:49:13	13994/13994	---M--	200	added ('OK')	image/png	etag:%225857f26b7ab5836ded973194a68be967%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/usage/2.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/usage/2.png	(from https://rosecutebear.com/)
20:49:15	14146/14146	---M--	200	added ('OK')	image/png	etag:%2270cb695a56b9f79d4c6df2d610edf995%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/usage/3.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/usage/3.png	(from https://rosecutebear.com/)
20:49:16	82224/82224	---M--	200	added ('OK')	image/png	etag:%22a4b56b703bbef1e5bd610ac6c4e7c1be%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/offer-img.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/offer-img.png	(from https://rosecutebear.com/)
20:49:18	78881/78881	---M--	200	added ('OK')	image/png	etag:%225f6875f422227a4480a47149a0eb38bc%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/banner-bottom-image.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/banner-bottom-image.png	(from https://rosecutebear.com/)
20:49:18	11890/11890	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:49:17%20GMT	https://rosecutebear.com/salespage/rosealcutebear	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespage/rosealcutebear.html	(from https://rosecutebear.com/)
20:49:19	5209/5209	---M--	200	added ('OK')	image/png	etag:%22601da162-1459%22	https://rosecutebear.com/orderpages/shared/images/protected.png	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/orderpages/shared/images/protected.png	(from https://rosecutebear.com/)
20:49:20	4478/4478	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:49:19%20GMT	https://rosecutebear.com/salespage/rosealcutebear/contact	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespage/rosealcutebear/contact.html	(from https://rosecutebear.com/)
20:49:20	28926/28926	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:49:19%20GMT	https://rosecutebear.com/salespage/rosealcutebear/terms	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespage/rosealcutebear/terms.html	(from https://rosecutebear.com/)
20:49:21	43166/43166	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:49:20%20GMT	https://rosecutebear.com/salespage/rosealcutebear/privacy	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespage/rosealcutebear/privacy.html	(from https://rosecutebear.com/)
20:49:21	4756/4756	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:49:21%20GMT	https://rosecutebear.com/salespage/rosealcutebear/refund	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespage/rosealcutebear/refund.html	(from https://rosecutebear.com/)
20:49:22	1493/1493	---MCZ	200	added ('OK')	application/javascript	etag:W/%22601da162-5d5%22	https://rosecutebear.com/js/manifest.js?v=7db827d65431	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/js/manifestae22.js	(from https://rosecutebear.com/)
20:49:23	296998/296998	---MCZ	200	added ('OK')	application/javascript	etag:W/%22601da162-48826%22	https://rosecutebear.com/js/vendor.js?v=5ef84b3e97d0	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/js/vendor3c83.js	(from https://rosecutebear.com/)
20:49:23	312369/312369	---MCZ	200	added ('OK')	application/javascript	etag:W/%22601da162-4c431%22	https://rosecutebear.com/js/app.js?v=84608ae95034	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/js/app12ce.js	(from https://rosecutebear.com/)
20:49:25	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Feb%202021%2012:49:24%20GMT	https://rosecutebear.com/salespage/rosealcutebear/`mailto:support@rosecutebear.com`	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespage/rosealcutebear/`mailto_support@rosecutebear.com`	(from https://rosecutebear.com/salespage/rosealcutebear/privacy)
20:49:25	875154/875154	---MCZ	200	added ('OK')	application/javascript	etag:W/%22601da162-d5a92%22	https://rosecutebear.com/salespages/shared/js/app.js?v=354b8b6314a3	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespages/shared/js/appbb9a.js	(from https://rosecutebear.com/)
